Location,Title,Company,Url
AI/ML Developer,El Salvador,Novapulse AI,https://sv.linkedin.com/jobs/view/ai-ml-developer-at-novapulse-ai-4013339157?position=1&pageNum=0&refId=GKJKoT2UeMqiO4gKezAhTQ%3D%3D&trackingId=Xq%2FbGXL3LOHmIugU965%2FYA%3D%3D
Data Scientist - LLM,El Salvador,YO HR Consultancy,https://sv.linkedin.com/jobs/view/data-scientist-llm-at-yo-hr-consultancy-4042555430?position=2&pageNum=0&refId=GKJKoT2UeMqiO4gKezAhTQ%3D%3D&trackingId=vCizg7WSJ7cBhu8pO5528w%3D%3D
Sr Data Scientist - LLM,El Salvador,YO HR Consultancy,https://sv.linkedin.com/jobs/view/sr-data-scientist-llm-at-yo-hr-consultancy-4042556416?position=3&pageNum=0&refId=GKJKoT2UeMqiO4gKezAhTQ%3D%3D&trackingId=KE69sWH6I9eARpUq0%2F6tNA%3D%3D
Python Engineer - Temporary - Shopkick,El Salvador,Alia Services,https://sv.linkedin.com/jobs/view/python-engineer-temporary-shopkick-at-alia-services-4042396614?position=4&pageNum=0&refId=GKJKoT2UeMqiO4gKezAhTQ%3D%3D&trackingId=Heasgw4rsnCF7irHIw7n4g%3D%3D
Python Developer,"Nueva San Salvador, La Libertad, El Salvador",Applaudo,https://sv.linkedin.com/jobs/view/python-developer-at-applaudo-4038588188?position=5&pageNum=0&refId=GKJKoT2UeMqiO4gKezAhTQ%3D%3D&trackingId=K17HVkXworzrNe99dOVpqQ%3D%3D
Python Developer - LLM,El Salvador,YO HR Consultancy,https://sv.linkedin.com/jobs/view/python-developer-llm-at-yo-hr-consultancy-4042556329?position=6&pageNum=0&refId=GKJKoT2UeMqiO4gKezAhTQ%3D%3D&trackingId=wCxyPlzy1FkoFgrOR7yNcg%3D%3D
Python Developer,El Salvador,Launchpad Technologies Inc.,https://sv.linkedin.com/jobs/view/python-developer-at-launchpad-technologies-inc-4038419788?position=7&pageNum=0&refId=GKJKoT2UeMqiO4gKezAhTQ%3D%3D&trackingId=%2F6DY7URtwvVT6xTBYPtkEw%3D%3D
Python Full Stack Developer,El Salvador,YO HR Consultancy,https://sv.linkedin.com/jobs/view/python-full-stack-developer-at-yo-hr-consultancy-4042553653?position=8&pageNum=0&refId=GKJKoT2UeMqiO4gKezAhTQ%3D%3D&trackingId=ByU8DVyxkQzaS9woUQpmfw%3D%3D
Desarrollador Python,"San Salvador, San Salvador, El Salvador",Sistemas Pliret,https://sv.linkedin.com/jobs/view/desarrollador-python-4038550976?position=9&pageNum=0&refId=GKJKoT2UeMqiO4gKezAhTQ%3D%3D&trackingId=vbwGUZZK1wcdUv7Sfua%2FHA%3D%3D&trk=public_jobs_jserp-result_search-card
Python JavaScript Developer,El Salvador,YO HR Consultancy,https://sv.linkedin.com/jobs/view/python-javascript-developer-at-yo-hr-consultancy-4042557252?position=10&pageNum=0&refId=GKJKoT2UeMqiO4gKezAhTQ%3D%3D&trackingId=ehzdh5FCRRwbASjZvRoECA%3D%3D
AI Engineer - Mid Level,El Salvador,Lumenalta (formerly Clevertech),https://sv.linkedin.com/jobs/view/ai-engineer-mid-level-at-lumenalta-formerly-clevertech-4048228316?position=11&pageNum=0&refId=GKJKoT2UeMqiO4gKezAhTQ%3D%3D&trackingId=tJpz4CtH8wwgEQ7lWamadg%3D%3D
Joven Profesional  - Desarrollo Digital,"San Salvador, El Salvador",Holcim El Salvador,https://sv.linkedin.com/jobs/view/joven-profesional-desarrollo-digital-at-holcim-el-salvador-4029637738?position=12&pageNum=0&refId=GKJKoT2UeMqiO4gKezAhTQ%3D%3D&trackingId=T42hIeL11QxvLYFWjdnvaA%3D%3D
AI Engineer - Senior,El Salvador,Lumenalta (formerly Clevertech),https://sv.linkedin.com/jobs/view/ai-engineer-senior-at-lumenalta-formerly-clevertech-4048240894?position=13&pageNum=0&refId=GKJKoT2UeMqiO4gKezAhTQ%3D%3D&trackingId=isxsrZg%2BmWIok33Auay8FA%3D%3D
Senior Data Scientist,"Antiguo Cuscatlán, La Libertad, El Salvador",TELUS Digital,https://sv.linkedin.com/jobs/view/senior-data-scientist-at-telus-digital-3950294855?position=14&pageNum=0&refId=GKJKoT2UeMqiO4gKezAhTQ%3D%3D&trackingId=613WDuRB%2Fyrxcsf2JTdUFg%3D%3D
AI Engineer - Tech Lead,El Salvador,Lumenalta (formerly Clevertech),https://sv.linkedin.com/jobs/view/ai-engineer-tech-lead-at-lumenalta-formerly-clevertech-4048251220?position=15&pageNum=0&refId=GKJKoT2UeMqiO4gKezAhTQ%3D%3D&trackingId=SkVTgdbXoB9Y0to9h3hR%2BA%3D%3D
Software Engineer,"San Salvador, San Salvador, El Salvador",MOOVIIT,https://sv.linkedin.com/jobs/view/software-engineer-at-mooviit-4046023589?position=16&pageNum=0&refId=GKJKoT2UeMqiO4gKezAhTQ%3D%3D&trackingId=qNItRA4vPlYP0OZcm4qgdw%3D%3D
Python Developer - Tech Lead,El Salvador,Lumenalta (formerly Clevertech),https://sv.linkedin.com/jobs/view/python-developer-tech-lead-at-lumenalta-formerly-clevertech-4050992242?position=17&pageNum=0&refId=GKJKoT2UeMqiO4gKezAhTQ%3D%3D&trackingId=jfmErG9tj9X1pKiHg2VVMQ%3D%3D
DevOps (6000 USD/Mes) [Remote],El Salvador,Listopro a Revelo Company,https://sv.linkedin.com/jobs/view/devops-6000-usd-mes-remote-at-listopro-a-revelo-company-4049197519?position=18&pageNum=0&refId=GKJKoT2UeMqiO4gKezAhTQ%3D%3D&trackingId=s6udPtT9vXPEWJXIg%2Bq8Mw%3D%3D
Sr Python Developer - LLM,El Salvador,YO HR Consultancy,https://sv.linkedin.com/jobs/view/sr-python-developer-llm-at-yo-hr-consultancy-4042553717?position=19&pageNum=0&refId=GKJKoT2UeMqiO4gKezAhTQ%3D%3D&trackingId=AVdnSI4J4WS5uE7mwu%2FTNQ%3D%3D
Full-Stack Engineer (5000 USD/Mes) [Remote],El Salvador,Listopro a Revelo Company,https://sv.linkedin.com/jobs/view/full-stack-engineer-5000-usd-mes-remote-at-listopro-a-revelo-company-4049500261?position=20&pageNum=0&refId=GKJKoT2UeMqiO4gKezAhTQ%3D%3D&trackingId=u20ykhaKwEow%2F3y8%2BThnRA%3D%3D
Ingeniero en Virtualización WMWare,El Salvador,GBM,https://sv.linkedin.com/jobs/view/ingeniero-en-virtualizaci%C3%B3n-wmware-at-gbm-4039674034?position=21&pageNum=0&refId=GKJKoT2UeMqiO4gKezAhTQ%3D%3D&trackingId=MisMoPoEDgsV6c0gwz19Jg%3D%3D
Analista de Datos Jr.,"La Libertad, El Salvador",Grupo CASSA (Compañía Azucarera Salvadoreña),https://sv.linkedin.com/jobs/view/analista-de-datos-jr-at-grupo-cassa-compa%C3%B1%C3%ADa-azucarera-salvadore%C3%B1a-4048275941?position=22&pageNum=0&refId=GKJKoT2UeMqiO4gKezAhTQ%3D%3D&trackingId=p4r0vrFbMh%2F0kkUQ7lVmMA%3D%3D
"Senior Software Engineer (Python, Flask, React) Contract- 6 months",El Salvador,Cutting Edge Search,https://sv.linkedin.com/jobs/view/senior-software-engineer-python-flask-react-contract-6-months-at-cutting-edge-search-4012153313?position=23&pageNum=0&refId=GKJKoT2UeMqiO4gKezAhTQ%3D%3D&trackingId=AUBiLHbq6CPG0cKjyzR4Ow%3D%3D
